poorSignalLevel,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,attention,meditation
,75175,148156,61648,3054,9997,2759,1028,25654,26,35
,107942,112261,5042,16508,15594,3938,2662,20675,26,35
,749242,319363,85951,64917,22103,13045,7964,92582,26,27
,387421,30968,18645,5395,5571,2629,785,20332,26,27
,2219238,918000,117970,63551,47512,26342,46650,249634,8,26
,223259,43411,90491,18320,6195,5976,1085,20985,8,26
,1256032,408381,58657,144638,21955,25910,7174,78755,13,30
,1195895,197777,125277,76331,23954,12840,4359,59731,21,44
,899749,742707,818550,254715,47375,45687,17586,323964,21,56
,1171083,165846,2034050,44512,141456,100040,25299,256242,27,88
,2839100,961195,345510,112931,85424,74849,26181,318924,30,84
,2000936,571596,7518,63253,26732,17615,6892,83109,30,63
,1201091,201155,152940,55115,37230,38119,11361,100875,44,54
,39454,7867,6193,8495,4610,4728,1325,6328,44,54
,137865,61150,118438,9803,10546,3172,1314,19568,41,34
,1354553,695856,912844,164329,511556,86737,39141,286355,40,41
,2531454,504927,183405,50666,26313,15967,7904,101789,40,41
,448126,627794,121226,193841,60524,19405,3835,75791,37,54
,25610,27771,13806,3669,8058,2526,1275,5641,37,54
,104218,201182,30679,28760,6362,3002,1233,21172,14,47
,245916,118620,11086,730,6245,3684,444,13954,14,47
,172653,25821,8989,4066,3901,2247,600,8262,20,43
,43619,10797,838,2184,712,1754,155,3081,17,34
,186354,56104,22971,6888,8315,2864,1443,12687,17,34
,2364448,404893,223163,97985,17595,12225,3926,85294,17,34
,1069251,477883,42976,19207,54455,16029,9675,71146,21,20
,433032,47329,19988,29888,5920,2758,1562,22671,21,20
,804328,216903,39244,28843,36981,23813,4979,68423,41,17
,384779,371783,368376,38197,16045,14619,5998,82554,40,30
,816150,877876,185044,155389,47747,67518,19842,359744,47,41
,526852,23818,11034,5903,1694,2099,1425,10470,43,50
,1296615,130143,39551,31395,18603,8157,1216,19276,35,50
,104882,66792,8140,11270,5490,1286,835,21120,30,38
poorSignalLevel,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,attention,meditation
poorSignalLevel,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,attention,meditation
,1344061,1189102,162293,160969,121558,262554,104653,18308,0,0
,640097,40973,8039,7648,3433,2694,1480,1343,0,0
,1142738,479661,116939,182427,278347,134948,23812,9648,0,0
,1424707,69068,18200,42340,40951,52486,6909,4133,0,0
,603380,36790,13736,9056,8265,15679,3627,1693,0,0
,1092790,498569,50918,75147,48304,30590,17605,3724,0,0
,262813,181719,25705,8805,28812,72494,79283,82480,0,0
,1837383,29824,18111,16234,15458,6465,2739,1309,0,0
poorSignalLevel,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,attention,meditation
,47212,8509,17201,5899,1800,3194,2818,723,0,0
,117784,31182,36432,3286,5939,5603,1140,659,0,0
,24452,47643,9971,17823,8869,7132,1804,2146,0,0
,929203,121635,11564,19007,26454,18927,5277,2505,51,30
,170483,103563,35357,8522,8233,3506,4082,4564,34,29
,1669034,58093,28159,12518,27377,26362,3998,708,34,29
,406,209,34,13,20,12,3,3,34,29
,2481361,432332,103290,42037,63129,43648,23812,7936,34,29
,1415553,113026,145929,76894,61007,39183,5716,956,34,29
,1049174,179649,83829,81676,66491,163138,88117,63201,56,34
,1330446,165246,101655,82047,57128,31260,20731,23847,56,34
,4,1,1,0,0,1,0,0,56,34
,440,36,13,11,12,11,11,398,56,34
,280023,40427,17226,21433,2728,8643,1719,37466,56,34
,1281332,651816,82548,59345,7548,44604,7813,395885,0,0
,574799,695435,173023,115992,15024,31579,4958,386102,0,0
,283381,338582,216532,46400,15549,44328,8296,418958,0,0
,414250,633396,8336,46518,28781,52489,7239,378640,0,0
,1069323,425457,174428,58618,40919,28815,20323,446410,0,0
,209014,690633,48243,77174,29374,37141,5169,401827,0,0
,2527648,1771798,868261,80063,138784,428769,22917,1785710,0,0
,217430,259849,113933,435214,34340,37372,13589,402061,0,0
,833436,570102,172360,87719,30763,29707,4888,425173,0,0
,715951,282212,68193,112216,66112,44562,5827,361067,0,0
,194629,94034,29167,3389,12749,8963,1454,74965,0,0
,704977,505278,271444,111750,65079,101125,9178,440337,0,0
,135794,9586,19436,12216,6651,6820,5115,6992,0,0
,400059,51996,85465,35593,18481,106919,34396,91700,0,0
,527056,302954,95516,165556,74094,54509,45832,32580,0,0
,263794,1165362,80453,266116,110237,30535,77045,145365,0,0
,612782,124591,527897,242033,71732,102088,163647,45320,0,0
,206786,81477,16391,58315,13629,51441,6886,24837,0,0
poorSignalLevel,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,attention,meditation
,79912,19104,18996,13820,5233,4477,2640,2717,0,0
,22102,23160,6327,15872,6184,16397,2463,1978,0,0
,373877,282558,7217,17135,6453,9339,7077,1471,0,0
