poorSignalLevel,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,attention,meditation
,33348,16236,12907,6690,4419,25096,7868,7796,67,66
,21009,42999,6453,6233,16295,22075,4127,2107,69,51
,495109,40004,99635,21811,8678,21115,12140,4026,56,80
,53062,5920,2020,28166,27281,12902,12676,7146,56,93
,216282,100099,29286,12690,18130,20686,10712,15934,50,87
,495396,75800,7407,6682,11664,13613,9867,4551,51,80
,8515,6136,18754,9320,19834,28368,10490,5874,67,67
,70893,109796,21106,13662,23602,45929,31677,4741,66,56
,88420,21872,15823,8425,11211,21299,19039,5474,78,60
,201143,53390,9126,6556,12224,11545,15000,9390,78,64
,226992,43547,28261,5739,6560,47936,13373,8166,75,61
,451694,37451,21031,5842,4087,18397,7510,9193,74,69
,797544,41438,58182,21086,13850,26294,19364,7611,66,78
,9059,25439,1784,1322,16882,10956,11117,7254,66,69
,51502,13247,23914,14189,8796,9887,11663,3280,61,78
,70616,11318,4275,10754,12536,15799,5219,4027,70,69
,185771,9282,7657,3751,2192,4185,5540,1472,69,70
,23421,9023,21485,5413,6147,23973,14918,6712,74,96
,1432448,453117,23631,84714,49396,13657,20076,16597,53,80
,28818,17983,176,2300,4347,7130,2175,1715,48,63
,20394,75381,14416,2904,40235,15254,13480,4935,44,47
,694236,34954,4519,10636,6339,8157,2914,1313,30,38
,2025538,121678,4695,13712,8507,30959,5958,4689,53,30
,507005,72498,73172,7108,6112,10723,7473,3489,38,56
,252617,90291,7503,5828,3570,4336,3428,2526,24,56
,89825,23641,8562,3853,5966,25234,8494,4351,40,54
,375249,31490,12762,26682,23659,38467,12863,7044,48,67
,98967,52203,19140,5059,14701,25722,21868,10575,63,54
,33588,29013,7313,11083,14926,21609,14839,4919,84,60
,20334,52273,13323,11404,4813,16860,11551,14013,75,63
,17957,67671,13677,12334,5411,13072,18930,6676,57,66
,278263,23897,11921,3649,11623,11036,12462,11907,60,67
,234227,47150,5963,3002,4869,3981,5247,5807,23,51
,98517,65955,3530,3385,4741,3439,6947,2992,13,38
,1400785,320390,79200,25213,19443,16005,33982,12395,1,37
,2581611,436409,46339,64742,29283,34334,19942,10544,1,41
,841245,790973,52217,18940,31182,30986,18186,11725,1,35
,25382,8752,4869,3667,6250,5458,3314,1134,26,53
,192279,26789,10194,9923,26790,38397,15390,13870,51,54
,39410,13818,6320,20524,11621,14912,7533,4985,74,78
,267047,201454,22856,15222,14627,29465,23162,15582,69,69
,775126,248663,68396,25986,8998,32276,26863,3796,48,81
,117709,27564,11730,9443,20122,35424,12715,4989,54,69
,412318,24738,43736,25512,13567,18046,21674,11791,60,91
,134938,174324,8434,10006,36704,17623,7673,6209,64,75
,40220,18663,21361,19828,14347,16097,11883,8807,61,81
,201795,127383,8383,17772,25057,11909,6339,3087,47,78
,596765,82304,22434,7447,7198,9154,5780,2647,30,69
,31500,18259,2269,3495,16385,11932,11640,4152,37,48
,29143,48329,59915,18885,13727,28298,18421,10297,57,75
,29438,42076,5112,12624,17710,12207,5952,5957,66,74
,75586,33456,49089,14641,9263,22493,7500,2194,60,94
,152921,13977,3556,3207,4767,3028,4852,2655,48,90
,84038,65589,11500,16098,12679,18519,10981,3425,48,78
,134341,11622,8203,12570,12281,8144,11899,5785,53,80
,113437,31155,13211,11582,2389,3322,3451,2306,44,87
,45874,34017,6498,31567,15187,18724,10893,9212,48,93
,30834,6037,10780,4981,11078,25064,15609,2486,61,91
,230352,228349,18941,20658,17153,8847,18292,6225,41,77
,61252,80067,12851,29127,15050,20807,9628,12408,51,69
,59645,45331,1298,14196,3326,3246,616,1389,37,64
,113032,11213,2013,1264,1256,6342,2012,1275,26,56
,4296,21026,19330,3710,11718,12143,5571,5025,47,69
,6472,47488,7738,8861,19120,7175,10868,3310,43,64
,22428,12713,33705,16631,6443,13610,12107,8299,56,80
,52496,20079,5614,7650,15212,13638,14316,11453,54,87
,16673,28328,152,3213,5229,8697,8431,4321,54,66
,287754,221881,23571,11987,16239,13207,13291,6527,47,60
,146164,27912,1662,5962,2933,5147,4953,2350,43,40
,116332,83389,2502,15824,7471,31190,8856,5143,41,35
,18697,27012,26798,14973,11823,27154,9015,8378,66,66
,6221,8126,19895,7576,6869,14633,3923,14408,70,91
,485136,26949,8384,16154,11526,29428,9079,4287,75,90
,31055,5236,30086,21006,14975,9011,18202,5393,61,88
,25492,18100,12888,9572,19814,13672,10356,7903,60,78
,67660,142318,14003,11985,6759,18325,8185,4793,43,69
,24788,11407,5047,18290,9272,31435,8296,4875,63,80
,119149,5524,5176,2239,3555,3969,2080,3009,69,69
,39704,23285,14534,14515,18589,26364,6498,3177,74,69
,19002,33368,6546,3195,12224,12951,4978,5456,83,70
,91538,23085,4354,2048,4722,3106,1412,914,61,61
,11146,8439,7662,9494,12112,11974,9397,5467,64,61
,77063,75176,3828,5454,6743,2806,10755,2475,38,48
,231585,28257,9828,8778,2851,2437,1409,469,21,60
,62793,6741,4408,1274,3935,7740,4239,1159,40,64
,49542,39466,10884,10997,7503,21746,6185,3867,37,60
,149513,69084,13882,23104,7952,17609,13972,3627,53,74
,4991,8818,5151,7911,8846,10720,8301,3305,75,70
,51710,12309,13388,12692,3835,11935,24742,4310,67,81
,43552,38109,27870,3336,11219,6418,4605,936,54,88
,59910,23728,8559,27337,7963,11290,8899,3869,54,94
,8766,17127,7965,9933,3641,15839,12355,4953,54,96
,19606,15220,8712,7038,14066,16151,6248,9862,60,87
,7850,9424,25367,3040,15929,14692,5105,5243,74,88
,7854,11223,7680,8557,3358,8007,11228,8149,78,87
,9393,13996,1920,10781,11848,10301,6870,3741,77,83
,49119,20014,27773,1837,13748,24262,8436,4764,75,88
,81333,73053,8481,14087,6990,7239,5603,2280,60,78
,101796,152087,8266,2773,5588,4268,3046,3546,38,53
,1257686,167291,51974,18472,22093,14962,6464,6058,20,53
,146758,85392,14052,4346,4253,3785,3359,1095,1,43
,108202,63597,13928,3092,6401,18375,6633,7118,7,41
,50839,41817,6107,4796,9286,4533,5999,1532,16,51
,194715,21612,4880,3850,4819,5559,2466,1220,26,50
,99829,28107,8896,34278,25214,12084,15444,3478,41,61
,113608,7899,5041,19731,6405,16459,11427,3158,50,75
,13110,23996,11057,4143,13266,17471,8701,4694,64,80
,37073,12226,9411,5284,3666,3058,979,1078,60,90
,27675,17144,5381,8573,16837,16553,2594,5515,70,81
,10916,16974,7983,5515,16359,7383,13262,6958,64,74
,56677,18695,3458,2326,6527,3374,2492,3162,53,69
,39985,28873,4109,8543,15687,9204,13233,5944,41,56
,31285,4523,10821,3882,16873,21021,11292,3349,54,56
,22651,11446,5350,8357,28430,12056,8404,5054,66,60
,27794,39543,21671,26568,10410,22226,7943,7337,78,69
,52925,38094,8888,12001,7699,19644,10496,7942,81,74
,94278,6882,1059,945,5254,5829,5528,353,77,61
,296931,55048,17961,12164,19558,13694,21622,12417,66,63
,376937,55014,15198,18765,25179,33201,15338,6759,70,56
,22769,95259,7414,14445,18790,33660,11259,4409,70,48
,8277,44391,7788,16763,6997,23464,10537,6627,64,57
,89894,15076,2057,1154,3062,8438,2763,771,75,47
,8889,10439,5692,12932,1611,25387,18847,3109,81,51
,60436,33522,8492,9752,8262,9062,21430,16246,77,61
,12533,37327,6766,21003,5873,17834,5673,5075,75,64
,20282,9447,15981,13112,10226,28086,5427,5404,78,83
,334127,27589,21817,6707,18919,17980,18793,15318,69,81
,50636,25301,15711,10777,17536,23306,6906,7105,78,81
,1193812,447190,102613,153428,129371,80761,40925,26248,69,80
,147317,30937,9382,4010,8362,4364,7814,1276,51,70
,513065,882410,36695,19396,65980,70192,22733,2907,38,50
,625223,3455,13813,1551,2578,2811,406,341,26,66
,563792,38783,4563,12096,22734,8647,10729,2635,29,60
,145656,45024,10615,7623,19743,21196,9968,2986,40,54
,239968,30103,6276,1548,6595,2470,2213,2026,38,67
,423444,123053,77299,12811,36687,37347,37402,12600,41,53
,20155,2013,1053,2118,4188,4749,538,1037,57,54
,27139,32235,14397,23274,24549,9635,8150,2628,50,64
,34787,19523,1270,5236,10377,8715,12106,5241,66,61
,15241,15816,3602,7030,6186,10351,4202,4668,75,60
,5295,19071,11800,4286,9916,13885,4065,4035,66,61
,96002,6835,8134,12167,16067,9816,4233,3564,75,63
,148287,49943,45200,20721,11804,13121,2122,1688,63,80
,414752,189450,76089,21448,64468,42728,38736,15734,53,80
,173687,140743,13262,9729,19206,5851,2932,1228,30,69
,157876,24258,11760,22222,6742,11731,7604,3596,24,74
,819571,214245,66603,25513,31153,15567,7841,5123,17,63
,648203,33702,20156,16553,9619,10467,9181,1176,17,63
,1112620,62839,11377,7822,4281,4134,712,814,17,63
,47993,29129,2010,4258,19101,14041,6140,2017,27,51
,28333,32968,20536,10014,18425,8368,4026,2297,40,64
,41746,31972,15441,3612,21657,7697,5983,2905,38,54
,18730,5275,9718,4004,27408,10814,4581,1800,61,54
,727021,43008,8727,5423,10487,5151,2359,1620,48,63
,179010,51008,15620,15952,15585,13024,6934,5166,48,61
,172496,38962,4767,6276,2101,6407,3231,1599,47,57
,308036,23603,2951,6678,3772,4478,3358,1777,30,57
,77418,253309,62825,4348,19038,20099,10886,1890,27,57
,130062,126611,39031,7404,30395,4335,13461,8793,11,54
,1311223,66075,14403,25394,11964,14409,10030,3201,13,61
,795580,368395,38546,28934,16697,20651,13923,6991,3,54
,67655,120205,30215,16483,38578,10487,9455,4171,3,56
,158962,67188,95368,9868,16517,25162,14433,8693,20,67
,1323612,59280,7898,13516,3791,7648,3219,1205,16,64
,196771,6842,12007,9840,9104,8740,4940,3734,34,80
,266285,30105,6765,7507,10216,5932,606,768,41,81
,182668,149166,13393,12278,15633,18766,2422,1866,38,61
,331497,178056,17021,2380,17339,18895,9730,5287,38,48
,6269,11096,4543,16259,8719,9843,6007,5908,38,48
,33685,7589,5658,5724,14814,11906,4738,2060,53,48
,68771,37951,35125,15053,18955,9367,3410,1575,53,66
,1896128,34041,2352,2154,5888,1726,512,97,44,67
,920643,31936,9349,5337,6823,6184,3267,2018,38,60
,60546,13654,1949,13582,2770,3495,2319,1425,21,69
,29414,18859,10109,16270,5645,11496,8185,5666,29,69
,170040,23465,8203,2518,1908,3575,2000,1918,37,83
,118042,23459,13985,1373,3697,2516,2001,1186,21,69
,567969,57171,4633,20254,6821,16443,14347,9834,27,69
,130257,27950,735,625,1409,1238,1114,217,35,51
,88355,37998,1849,2416,1137,3445,3710,931,38,35
,1171856,206937,111766,24261,17653,45748,14393,4639,34,40
,114441,7982,2946,1255,3804,1792,806,129,21,35
,133255,68645,3585,10971,15837,16650,5302,4664,37,48
,1070278,58796,2391,5204,3972,5147,4313,2322,37,48
,279102,45601,37194,34017,38938,21222,11359,2243,38,51
,445195,55304,2245,9482,7133,15976,18863,6305,41,43
,32603,7360,19252,15756,11104,11441,11329,7676,44,64
,157669,380808,19425,25235,18854,10866,11670,4948,20,43
